"idcalle","calle","localidad","departamento"
8169,"CAMINO GENERAL OSVALDO RODRIGUEZ","MONTEVIDEO","MONTEVIDEO"
8169,"CAMINO GENERAL OSVALDO RODRIGUEZ","ABAYUBA","MONTEVIDEO"
8171,"CAMINO GORI","SANTIAGO VAZQUEZ","MONTEVIDEO"
8171,"CAMINO GORI","MONTEVIDEO","MONTEVIDEO"
8172,"JOSE DE ECHEGARAY","MONTEVIDEO","MONTEVIDEO"
8173,"CAMINO LA CRUZ DEL SUR","MONTEVIDEO","MONTEVIDEO"
8183,"CNO DE LA REDENCION","MELILLA","MONTEVIDEO"
8183,"CNO DE LA REDENCION","MONTEVIDEO","MONTEVIDEO"
8193,"CAMINO LA TOTORA","MELILLA","MONTEVIDEO"
8193,"CAMINO LA TOTORA","MONTEVIDEO","MONTEVIDEO"
8194,"CAMINO LOS AGRONOMOS","MONTEVIDEO","MONTEVIDEO"
8195,"CAMINO LOS PIRINCHOS","MELILLA","MONTEVIDEO"
8195,"CAMINO LOS PIRINCHOS","MONTEVIDEO","MONTEVIDEO"
8196,"CAMINO LOS POMELOS","MONTEVIDEO","MONTEVIDEO"
8197,"CAMINO MALDONADO","MONTEVIDEO","MONTEVIDEO"
8198,"CAMINO MANUEL M FLORES","SANTIAGO VAZQUEZ","MONTEVIDEO"
8198,"CAMINO MANUEL M FLORES","MONTEVIDEO","MONTEVIDEO"
8215,"CAMINO MELILLA","MELILLA","MONTEVIDEO"
8215,"CAMINO MELILLA","MONTEVIDEO","MONTEVIDEO"
8216,"CAMINO MONTE SOSA","MONTEVIDEO","MONTEVIDEO"
8219,"CAMINO ÑACURUTUCES","MELILLA","MONTEVIDEO"
8219,"CAMINO ÑACURUTUCES","MONTEVIDEO","MONTEVIDEO"
8220,"CAMINO O HIGGINS","MONTEVIDEO","MONTEVIDEO"
8220,"CAMINO O HIGGINS","PAJAS BLANCAS","MONTEVIDEO"
8227,"CNO LA BOYADA","MONTEVIDEO","MONTEVIDEO"
8228,"CAMINO PERLA","MONTEVIDEO","MONTEVIDEO"
8235,"AVENIDA PUNTA DE RIELES","MONTEVIDEO","MONTEVIDEO"
8236,"CAMINO SANGUINETTI UNO","SANTIAGO VAZQUEZ","MONTEVIDEO"
8236,"CAMINO SANGUINETTI UNO","MONTEVIDEO","MONTEVIDEO"
8237,"CAMINO TENIENTE GALEANO","MONTEVIDEO","MONTEVIDEO"
8238,"CAMINO TOMKINSON","MONTEVIDEO","MONTEVIDEO"
8238,"CAMINO TOMKINSON","PAJAS BLANCAS","MONTEVIDEO"
8240,"CAMINO VARZI","MONTEVIDEO","MONTEVIDEO"
8240,"CAMINO VARZI","ABAYUBA","MONTEVIDEO"
8241,"CAMPICHUELO","MONTEVIDEO","MONTEVIDEO"
8242,"CAMPINAS","MONTEVIDEO","MONTEVIDEO"
8243,"CANSTATT","MONTEVIDEO","MONTEVIDEO"
8244,"CAPITAN VILLADEMOROS","MONTEVIDEO","MONTEVIDEO"
8245,"CARAMURU","MONTEVIDEO","MONTEVIDEO"
8247,"CARLOS BERG","MONTEVIDEO","MONTEVIDEO"
8248,"CARLOS REYLES","MONTEVIDEO","MONTEVIDEO"
8249,"CARLOS ROXLO","MONTEVIDEO","MONTEVIDEO"
8250,"CESAR BATLLE PACHECO","MONTEVIDEO","MONTEVIDEO"
8251,"CIUDAD DE PARIS","MONTEVIDEO","MONTEVIDEO"
8252,"COLOMBIA","MONTEVIDEO","MONTEVIDEO"
8253,"COLONIA","MONTEVIDEO","MONTEVIDEO"
8254,"COLORADO","MONTEVIDEO","MONTEVIDEO"
8255,"CUFRE","MONTEVIDEO","MONTEVIDEO"
8256,"DANUBIO","MONTEVIDEO","MONTEVIDEO"
8257,"DARWIN","MONTEVIDEO","MONTEVIDEO"
8258,"DOCTOR ALEJANDRO GALLINAL","MONTEVIDEO","MONTEVIDEO"
8259,"DR CARLOS M FOSALBA","MONTEVIDEO","MONTEVIDEO"
8260,"DOCTOR DUVIMIOSO TERRA","MONTEVIDEO","MONTEVIDEO"
8261,"EMILIO RAVIGNANI","MONTEVIDEO","MONTEVIDEO"
8262,"DOCTOR ENRIQUE POUEY","MONTEVIDEO","MONTEVIDEO"
8263,"DOCTOR GUALBERTO MENDEZ","MONTEVIDEO","MONTEVIDEO"
8264,"DOCTOR GUSTAVO GALLINAL","MONTEVIDEO","MONTEVIDEO"
8265,"DOCTOR JOAQUIN DE SALTERAIN","MONTEVIDEO","MONTEVIDEO"
8266,"DOCTOR JOAQUIN REQUENA","MONTEVIDEO","MONTEVIDEO"
8267,"JOSE L TERRA","MONTEVIDEO","MONTEVIDEO"
8268,"DOCTOR JULIO CESAR GRAUERT","MONTEVIDEO","MONTEVIDEO"
8269,"DOCTOR MARIO CASSINONI","MONTEVIDEO","MONTEVIDEO"
8270,"DOCTOR PEDRO LARGHERO","MONTEVIDEO","MONTEVIDEO"
8271,"DR RICARDO MACKINNON","MONTEVIDEO","MONTEVIDEO"
8272,"DR SALVADOR FERRER SERRA","MONTEVIDEO","MONTEVIDEO"
8273,"ELBA","MONTEVIDEO","MONTEVIDEO"
8274,"EMILIO RAÑA","MONTEVIDEO","MONTEVIDEO"
8275,"ESCRIBANO HECTOR GERONA","MONTEVIDEO","MONTEVIDEO"
8276,"ESPUELITAS","MONTEVIDEO","MONTEVIDEO"
8277,"FELICIANO RODRIGUEZ","MONTEVIDEO","MONTEVIDEO"
8278,"FELIPE SANGUINETTI","MONTEVIDEO","MONTEVIDEO"
8279,"CAPITAN FLORENCIO","MONTEVIDEO","MONTEVIDEO"
8280,"FRANCISCO DE PAULA MARTI","MONTEVIDEO","MONTEVIDEO"
8281,"FRANCISCO ECHAGOYEN","MONTEVIDEO","MONTEVIDEO"
8282,"FRANCISCO JOAQUIN MUÑOZ","MONTEVIDEO","MONTEVIDEO"
8283,"FRANCISCO JAVIER SITI","MONTEVIDEO","MONTEVIDEO"
8284,"GEMINIS","MONTEVIDEO","MONTEVIDEO"
8286,"GENERAL DOMINGO FRENCH","MONTEVIDEO","MONTEVIDEO"
8288,"GENERAL FARIAS","MONTEVIDEO","MONTEVIDEO"
8289,"GENERAL JULIO AMADEO ROLETTI","MONTEVIDEO","MONTEVIDEO"
8290,"GENERAL HORNOS","MONTEVIDEO","MONTEVIDEO"
8291,"GODOY","MONTEVIDEO","MONTEVIDEO"
8292,"GREGORIO SANABRIA","MONTEVIDEO","MONTEVIDEO"
8293,"GURMENDEZ","MONTEVIDEO","MONTEVIDEO"
8294,"HOCQUART","MONTEVIDEO","MONTEVIDEO"
8295,"HUASCAR","MONTEVIDEO","MONTEVIDEO"
8296,"CAMINO ALFRED HUDSON","MONTEVIDEO","MONTEVIDEO"
8297,"IBIROCAHY","MONTEVIDEO","MONTEVIDEO"
8298,"IGNACIO AMANDAU","MONTEVIDEO","MONTEVIDEO"
8299,"IGUA","MONTEVIDEO","MONTEVIDEO"
8300,"INDIA MUERTA","MONTEVIDEO","MONTEVIDEO"
8301,"ISIDORO DE MARIA","MONTEVIDEO","MONTEVIDEO"
8302,"DOCTOR ISIDRO MAS DE AYALA","MONTEVIDEO","MONTEVIDEO"
8303,"ISLA DE GORRITI","MONTEVIDEO","MONTEVIDEO"
8304,"JOAQUIN ARTIGAS","MONTEVIDEO","MONTEVIDEO"
